mapping_source_table,source_code,vocabulary_id,target_concept_id,ontology_concept_name
gcpt_micro_microtest,70073,SNOMED/77601007,4300293,Tissue culture
gcpt_micro_microtest,70076,SNOMED/77601007,4300293,Tissue culture
gcpt_micro_microtest,70091,SNOMED/401289003,4296650,Methicillin resistant Staphylococcus aureus screening test
gcpt_micro_microtest,90039,SNOMED/117010004,4024509,Urine culture
gcpt_micro_microtest,90046,SNOMED/61594008,4189544,Microbial culture
gcpt_micro_microtest,90055,SNOMED/117056007,4035228,Respiratory microbial culture
gcpt_micro_microtest,90092,SNOMED/117033003,4035113,Aerobic microbial culture
gcpt_micro_microtest,90093,SNOMED/117034009,4036044,Anaerobic microbial culture
gcpt_micro_microtest,90110,SNOMED/117010004,4024509,Urine culture
gcpt_micro_microtest,90117,SNOMED/117034009,4036044,Anaerobic microbial culture
gcpt_micro_microtest,90139,SNOMED/117033003,4035113,Aerobic microbial culture
gcpt_micro_microtest,90149,SNOMED/117034009,4036044,Anaerobic microbial culture
gcpt_micro_microtest,90178,SNOMED/41170006,4165398,Mycology culture
gcpt_micro_microtest,90186,SNOMED/122395005,4046245,Yeast culture
gcpt_micro_microtest,90189,SNOMED/401289003,4296650,Methicillin resistant Staphylococcus aureus screening test
gcpt_micro_microtest,90201,SNOMED/30088009,4107893,Blood culture
gcpt_micro_microtest,90202,SNOMED/30088009,4107893,Blood culture
gcpt_micro_microtest,90233,SNOMED/75332002,4327663,Clostridium difficile toxin assay
gcpt_micro_microtest,90243,SNOMED/122253004,4045656,Campylobacter species culture
gcpt_micro_microtest,90245,SNOMED/117034009,4036044,Anaerobic microbial culture
gcpt_micro_microtest,90252,SNOMED/12717000,4130349,Viral culture
gcpt_micro_microtest,90256,SNOMED/122213002,4047154,Herpes simplex virus culture
gcpt_micro_microtest,90258,SNOMED/117033003,4035113,Aerobic microbial culture
gcpt_micro_microtest,90260,SNOMED/117033003,4035113,Aerobic microbial culture
gcpt_micro_microtest,90261,SNOMED/117034009,4036044,Anaerobic microbial culture
gcpt_micro_microtest,90265,SNOMED/41170006,4165398,Mycology culture
gcpt_micro_microtest,90267,SNOMED/117028002,4024963,Stool culture
gcpt_micro_microtest,90268,SNOMED/117027007,4024510,"Microbial culture, body fluid"
gcpt_micro_microtest,90269,SNOMED/41170006,4165398,Mycology culture
gcpt_micro_microtest,90272,SNOMED/77601007,4300293,Tissue culture
gcpt_micro_microtest,90935,SNOMED/12717000,4130349,Viral culture
gcpt_meas_lab_loinc_mod,50802,LOINC/11555-0,3012501,Base excess in Blood by calculation
gcpt_meas_lab_loinc_mod,50803,LOINC/1959-6,3006576,Bicarbonate [Moles/volume] in Blood
gcpt_meas_lab_loinc_mod,50805,LOINC/20563-3,3023081,Carboxyhemoglobin/Hemoglobin.total in Blood
gcpt_meas_lab_loinc_mod,50806,LOINC/2069-3,3018572,Chloride [Moles/volume] in Blood
gcpt_meas_lab_loinc_mod,50808,LOINC/1994-3,3021119,Calcium.ionized [Moles/volume] in Blood
gcpt_meas_lab_loinc_mod,50809,LOINC/2339-0,3000483,Glucose [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50811,LOINC/718-7,3000963,Hemoglobin [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50813,LOINC/32693-4,3047181,Lactate [Moles/volume] in Blood
gcpt_meas_lab_loinc_mod,50815,LOINC/3151-8,3005629,Inhaled oxygen flow rate
gcpt_meas_lab_loinc_mod,50816,LOINC/3150-0,3020716,Inhaled oxygen concentration
gcpt_meas_lab_loinc_mod,50817,LOINC/20564-1,3013502,Oxygen saturation in Blood
gcpt_meas_lab_loinc_mod,50818,LOINC/11557-6,3013290,Carbon dioxide [Partial pressure] in Blood
gcpt_meas_lab_loinc_mod,50820,LOINC/11558-4,3010421,pH of Blood
gcpt_meas_lab_loinc_mod,50821,LOINC/11556-8,3027315,Oxygen [Partial pressure] in Blood
gcpt_meas_lab_loinc_mod,50822,LOINC/6298-4,3005456,Potassium [Moles/volume] in Blood
gcpt_meas_lab_loinc_mod,50823,LOINC/3150-0,3020716,Inhaled oxygen concentration
gcpt_meas_lab_loinc_mod,50824,LOINC/2947-0,3000285,Sodium [Moles/volume] in Blood
gcpt_meas_lab_loinc_mod,50825,LOINC/8310-5,3020891,Body temperature
gcpt_meas_lab_loinc_mod,50826,LOINC/20112-9,3012410,Tidal volume setting Ventilator
gcpt_meas_lab_loinc_mod,50831,LOINC/2748-2,3018672,pH of Body fluid
gcpt_meas_lab_loinc_mod,50835,LOINC/1749-1,3026692,Albumin [Mass/volume] in Peritoneal fluid
gcpt_meas_lab_loinc_mod,50836,LOINC/1797-0,3008691,Amylase [Enzymatic activity/volume] in Peritoneal fluid
gcpt_meas_lab_loinc_mod,50841,LOINC/12191-3,3016647,Creatinine [Mass/volume] in Peritoneal fluid
gcpt_meas_lab_loinc_mod,50842,LOINC/2347-3,3002240,Glucose [Mass/volume] in Peritoneal fluid
gcpt_meas_lab_loinc_mod,50849,LOINC/2883-7,3002331,Protein [Mass/volume] in Peritoneal fluid
gcpt_meas_lab_loinc_mod,50850,LOINC/14447-7,3023386,Triglyceride [Mass/volume] in Peritoneal fluid
gcpt_meas_lab_loinc_mod,50852,LOINC/4548-4,3004410,Hemoglobin A1c/Hemoglobin.total in Blood
gcpt_meas_lab_loinc_mod,50853,LOINC/1989-3,3020149,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50854,LOINC/41995-2,3034639,Hemoglobin A1c [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50855,LOINC/718-7,3000963,Hemoglobin [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50856,LOINC/3298-7,3002617,Acetaminophen [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50860,LOINC/1834-1,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50861,LOINC/1742-6,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50862,LOINC/1751-7,3024561,Albumin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50863,LOINC/6768-6,3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50864,LOINC/1834-1,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50865,LOINC/35669-1,3036152,Amikacin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50866,LOINC/16362-6,3011958,Ammonia [Moles/volume] in Plasma
gcpt_meas_lab_loinc_mod,50867,LOINC/1798-8,3016771,Amylase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50869,LOINC/63420-4,40766151,Gliadin peptide+tissue transglutaminase IgA+IgG Ab [Presence] in Serum by Immunoassay
gcpt_meas_lab_loinc_mod,50870,LOINC/58709-7,40761803,Gliadin peptide IgA Ab [Units/volume] in Serum
gcpt_meas_lab_loinc_mod,50871,LOINC/17284-1,3005277,Mitochondria Ab [Presence] in Serum by Immunofluorescence
gcpt_meas_lab_loinc_mod,50872,LOINC/17351-8,3009628,Neutrophil cytoplasmic Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50873,LOINC/8061-4,3004616,Nuclear Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50874,LOINC/5048-4,3002971,Nuclear Ab [Titer] in Serum by Immunofluorescence
gcpt_meas_lab_loinc_mod,50876,LOINC/14252-1,3005932,Smooth muscle Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50877,LOINC/8098-6,3025547,Thyroglobulin Ab [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50878,LOINC/1920-8,3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50881,LOINC/1952-1,3013201,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50883,LOINC/1968-7,3027597,Bilirubin.direct [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50884,LOINC/1971-1,3007359,Bilirubin.indirect [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50885,LOINC/1975-2,3024128,Bilirubin.total [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50889,LOINC/1988-5,3020460,C reactive protein [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50890,LOINC/4485-9,3000620,Complement C3 [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50891,LOINC/4498-2,3017766,Complement C4 [Mass/volume] in Serum or Plasma
