mapping_source_table,table_name,etl_prefix,source_code,vocabulary_id,target_concept_id,ontology_concept_name
gcpt_drug_ndc,prescriptions,NDC/,61314020315,RxNorm/373454,40076463,pilocarpine Ophthalmic Solution
gcpt_drug_ndc,prescriptions,NDC/,00264958720,RxNorm/5224,1367571,heparin
gcpt_drug_ndc,prescriptions,NDC/,00009082501,RxNorm/5492,975125,hydrocortisone
gcpt_drug_ndc,prescriptions,NDC/,00338055002,RxNorm/5224,1367571,heparin
gcpt_drug_ndc,prescriptions,NDC/,00904150061,RxNorm/197900,19019112,lorazepam 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,00641111834,RxNorm/4337,1154029,fentanyl
gcpt_drug_ndc,prescriptions,NDC/,00409779362,RxNorm/5224,1367571,heparin
gcpt_drug_ndc,prescriptions,NDC/,15456098004,RxNorm/857566,40162454,24 HR trospium chloride 60 MG Extended Release Oral Capsule [Sanctura]
gcpt_drug_ndc,prescriptions,NDC/,51991089533,RxNorm/485434,1711248,entecavir 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,44567010310,RxNorm/733,1717327,ampicillin
gcpt_drug_ndc,prescriptions,NDC/,00023918703,RxNorm/1009338,40226428,bimatoprost 0.1 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,63323036061,RxNorm/2117608,1366754,100 ML calcium gluconate 20 MG/ML Injection
gcpt_drug_ndc,prescriptions,NDC/,54162001715,RxNorm/370982,40014637,bacitracin Topical Ointment
gcpt_drug_ndc,prescriptions,NDC/,00310032130,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,00517391025,RxNorm/315546,19037093,calcium gluconate 100 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,00002897101,RxNorm/1435119,43560309,teriparatide 0.02 MG/ACTUAT Pen Injector [Forteo]
gcpt_drug_ndc,prescriptions,NDC/,00641602510,RxNorm/4337,1154029,fentanyl
gcpt_drug_ndc,prescriptions,NDC/,00409672903,RxNorm Extension/OMOP809773,43647680,50 ML Water 1000 MG/ML Injectable Solution
gcpt_drug_ndc,prescriptions,NDC/,63395020113,RxNorm/637190,19124311,varenicline 1 MG Oral Tablet [Chantix]
gcpt_drug_ndc,prescriptions,NDC/,00003161112,RxNorm/485434,1711248,entecavir 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,00781309896,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,00641049325,RxNorm/855888,40163243,phenytoin sodium 50 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,63323039923,RxNorm/733,1717327,ampicillin
gcpt_drug_ndc,prescriptions,NDC/,00409350601,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,55150011420,RxNorm/733,1717327,ampicillin
gcpt_drug_ndc,prescriptions,NDC/,63323028010,RxNorm/317376,957140,furosemide 10 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,00641255545,RxNorm/855888,40163243,phenytoin sodium 50 MG/ML
