Mapping file: gcpt_drug_ndc.csv

Found 566 relevant mappings in tokenizer. Please try to manually map this file!!!



Found codes in tokenizer:
Code                                                         Domain                                                       OMOP Code                                                   
Budesonide (Nasal) 0.5mg                                     Drug                                                         939422                                                      
acetylcysteine 100 mg/ml                                     Drug                                                         19095712                                                    
budesonide 0.5 mg/2 mL Neb Suspension                        Drug                                                         939398                                                      
Pulmicort ea                                                 Drug                                                         939259                                                      
Thrombin 5,000 units                                         Drug                                                         1300673                                                     
Acetylcysteine 20% 30ml Vial                                 Drug                                                         19093622                                                    
Prednisolone Acetate 1 % Eye Drops, Susp                     Drug                                                         43526394                                                    
Vancomycin HCl 1GM FROZ. BAG                                 Drug                                                         1707687                                                     
theophylline ER 300 mg 12 hr Tab                             Drug                                                         1237217                                                     
Lorazepam                                                    Drug                                                         791967                                                      
acetylcysteine 600mg                                         Drug                                                         1139058                                                     
NAC (N-acetyl-L-cysteine 600 mg Cap                          Drug                                                         1139058                                                     
tetanus immune globulin tetanus immune globulin              Drug                                                         35604680                                                    
DiphenhydrAMINE                                              Drug                                                         1129625                                                     
Ampicillin Sodium 2g Vial                                    Drug                                                         1717327                                                     
Medium Chain Triglycerides 0                                 Drug                                                         42899398                                                    
HYDROmorphone (Dilaudid)                                     Drug                                                         1126658                                                     
Vasopressin                                                  Drug                                                         1507835                                                     
potassium citrate 10 meq                                     Drug                                                         976606                                                      
Metoprolol                                                   Drug                                                         1307046                                                     
Diltiazem                                                    Drug                                                         1328165                                                     
Etanercept 25 mg Sub-Q Kit                                   Drug                                                         1151789                                                     
Coenzyme Q10 900 mg                                          Drug                                                         1351115                                                     
DOPamine                                                     Drug                                                         1337860                                                     
Phenytoin Sodium                                             Drug                                                         740910                                                      
LIDOCAINE 1% (W/Presv.)                                      Drug                                                         990243                                                      
Melatonin 3 mg                                               Drug                                                         19083332                                                    
brimonidine 0.1 % Eye Drops                                  Drug                                                         40164129                                                    
Mesalamine Desensitization 200 mg / 200 mL                   Drug                                                         968426                                                      
Ipratropium Bromide Neb                                      Drug                                                         1112921                                                     
