Mapping file: gcpt_meas_lab_loinc_mod.csv

Found 685 relevant mappings in tokenizer. Please try to manually map this file!!!



Found codes in tokenizer:
Code                                                         Domain                                                       OMOP Code                                                   
50802                                                        Measurement                                                  3012501                                                     
50803                                                        Measurement                                                  3006576                                                     
50805                                                        Measurement                                                  3023081                                                     
50806                                                        Measurement                                                  3018572                                                     
50808                                                        Measurement                                                  3021119                                                     
50809                                                        Measurement                                                  3000483                                                     
50811                                                        Measurement                                                  3000963                                                     
50813                                                        Measurement                                                  3047181                                                     
50815                                                        Measurement                                                  3005629                                                     
50816                                                        Measurement                                                  3020716                                                     
50817                                                        Measurement                                                  3013502                                                     
50818                                                        Measurement                                                  3013290                                                     
50820                                                        Measurement                                                  3010421                                                     
50821                                                        Measurement                                                  3027315                                                     
50822                                                        Measurement                                                  3005456                                                     
50823                                                        Measurement                                                  3020716                                                     
50824                                                        Measurement                                                  3000285                                                     
50825                                                        Measurement                                                  3020891                                                     
50826                                                        Measurement                                                  3012410                                                     
50831                                                        Measurement                                                  3018672                                                     
50835                                                        Measurement                                                  3026692                                                     
50836                                                        Measurement                                                  3008691                                                     
50841                                                        Measurement                                                  3016647                                                     
50842                                                        Measurement                                                  3002240                                                     
50849                                                        Measurement                                                  3002331                                                     
50850                                                        Measurement                                                  3023386                                                     
50852                                                        Measurement                                                  3004410                                                     
50853                                                        Measurement                                                  3020149                                                     
50854                                                        Measurement                                                  3034639                                                     
50855                                                        Measurement                                                  3000963                                                     
50856                                                        Measurement                                                  3002617                                                     
50860                                                        Measurement                                                  3009306                                                     
50861                                                        Measurement                                                  3006923                                                     
50862                                                        Measurement                                                  3024561                                                     
50863                                                        Measurement                                                  3035995                                                     
50864                                                        Measurement                                                  3009306                                                     
50865                                                        Measurement                                                  3036152                                                     
50866                                                        Measurement                                                  3011958                                                     
50867                                                        Measurement                                                  3016771                                                     
50869                                                        Measurement                                                  40766151                                                    
50870                                                        Measurement                                                  40761803                                                    
50871                                                        Measurement                                                  3005277                                                     
50872                                                        Measurement                                                  3009628                                                     
50873                                                        Measurement                                                  3004616                                                     
50874                                                        Measurement                                                  3002971                                                     
50876                                                        Measurement                                                  3005932                                                     
50877                                                        Measurement                                                  3025547                                                     
50878                                                        Measurement                                                  3013721                                                     
50881                                                        Measurement                                                  3013201                                                     
50883                                                        Measurement                                                  3027597                                                     
50884                                                        Measurement                                                  3007359                                                     
50885                                                        Measurement                                                  3024128                                                     
50889                                                        Measurement                                                  3020460                                                     
50890                                                        Measurement                                                  3000620                                                     
50891                                                        Measurement                                                  3017766                                                     
50892                                                        Measurement                                                  3037551                                                     
50893                                                        Measurement                                                  3006906                                                     
50896                                                        Measurement                                                  3000551                                                     
50898                                                        Measurement                                                  3013520                                                     
50899                                                        Measurement                                                  3028639                                                     
50900                                                        Measurement                                                  3003785                                                     
50901                                                        Measurement                                                  3014825                                                     
50902                                                        Measurement                                                  3014576                                                     
50903                                                        Measurement                                                  3011163                                                     
50904                                                        Measurement                                                  3007070                                                     
50905                                                        Measurement                                                  3028288                                                     
50906                                                        Measurement                                                  3009966                                                     
50907                                                        Measurement                                                  3027114                                                     
50908                                                        Measurement                                                  3048863                                                     
50909                                                        Measurement                                                  3009682                                                     
50910                                                        Measurement                                                  3007220                                                     
50911                                                        Measurement                                                  3005785                                                     
50912                                                        Measurement                                                  3016723                                                     
50913                                                        Measurement                                                  3021322                                                     
50914                                                        Measurement                                                  3010375                                                     
50915                                                        Measurement                                                  3051714                                                     
50916                                                        Measurement                                                  3015884                                                     
50917                                                        Measurement                                                  3011335                                                     
50918                                                        Measurement                                                  3012718                                                     
50920                                                        Measurement                                                  46236952                                                    
50921                                                        Measurement                                                  3025285                                                     
50922                                                        Measurement                                                  3025643                                                     
50924                                                        Measurement                                                  3001122                                                     
50925                                                        Measurement                                                  3036987                                                     
50926                                                        Measurement                                                  3023323                                                     
50927                                                        Measurement                                                  3026910                                                     
50928                                                        Measurement                                                  3009927                                                     
50929                                                        Measurement                                                  3035510                                                     
50930                                                        Measurement                                                  3021886                                                     
50931                                                        Measurement                                                  3004501                                                     
50935                                                        Measurement                                                  3012336                                                     
50936                                                        Measurement                                                  3018171                                                     
50937                                                        Measurement                                                  3035456                                                     
50938                                                        Measurement                                                  3013327                                                     
50939                                                        Measurement                                                  3013527                                                     
50940                                                        Measurement                                                  3017797                                                     
50941                                                        Measurement                                                  3019510                                                     
50942                                                        Measurement                                                  3036282                                                     
50943                                                        Measurement                                                  3013801                                                     
50945                                                        Measurement                                                  3016724                                                     
50946                                                        Measurement                                                  3018171                                                     
50948                                                        Measurement                                                  3037756                                                     
50949                                                        Measurement                                                  3007164                                                     
50950                                                        Measurement                                                  3005719                                                     
50951                                                        Measurement                                                  3028026                                                     
50952                                                        Measurement                                                  3002400                                                     
50953                                                        Measurement                                                  3021044                                                     
50954                                                        Measurement                                                  3016436                                                     
50956                                                        Measurement                                                  3004905                                                     
50957                                                        Measurement                                                  3024666                                                     
50958                                                        Measurement                                                  3009214                                                     
50960                                                        Measurement                                                  3001420                                                     
50961                                                        Measurement                                                  3017115                                                     
50963                                                        Measurement                                                  3029187                                                     
50964                                                        Measurement                                                  3008295                                                     
50965                                                        Measurement                                                  3000067                                                     
50966                                                        Measurement                                                  3025411                                                     
50967                                                        Measurement                                                  3022616                                                     
50970                                                        Measurement                                                  3011904                                                     
50971                                                        Measurement                                                  3023103                                                     
50973                                                        Measurement                                                  3004722                                                     
50974                                                        Measurement                                                  3013603                                                     
50975                                                        Measurement                                                  3035956                                                     
50976                                                        Measurement                                                  3020630                                                     
50978                                                        Measurement                                                  3021374                                                     
50980                                                        Measurement                                                  3021614                                                     
50981                                                        Measurement                                                  3000787                                                     
50982                                                        Measurement                                                  3004248                                                     
50983                                                        Measurement                                                  3019550                                                     
50986                                                        Measurement                                                  3026250                                                     
50988                                                        Measurement                                                  3008893                                                     
