Mapping file: gcpt_proc_datetimeevents.csv

Found 103 relevant mappings in tokenizer. Please try to manually map this file!!!



Found codes in tokenizer:
Code                                                         Domain                                                       OMOP Code                                                   
224183                                                       Procedure                                                    4078442                                                     
224184                                                       Procedure                                                    4322380                                                     
224185                                                       Procedure                                                    4322380                                                     
224186                                                       Procedure                                                    4078442                                                     
224187                                                       Procedure                                                    4078442                                                     
224261                                                       Procedure                                                    4078442                                                     
224262                                                       Procedure                                                    4141149                                                     
224279                                                       Procedure                                                    4078442                                                     
224280                                                       Procedure                                                    4141149                                                     
224282                                                       Procedure                                                    4078442                                                     
224284                                                       Procedure                                                    4078442                                                     
224285                                                       Procedure                                                    4213288                                                     
224287                                                       Procedure                                                    4078442                                                     
224288                                                       Procedure                                                    4213288                                                     
224290                                                       Procedure                                                    4078442                                                     
224292                                                       Procedure                                                    4078442                                                     
224293                                                       Procedure                                                    4078442                                                     
224295                                                       Procedure                                                    4078442                                                     
224296                                                       Procedure                                                    4141149                                                     
224298                                                       Procedure                                                    4078442                                                     
224878                                                       Procedure                                                    36715149                                                    
225213                                                       Procedure                                                    4078442                                                     
225214                                                       Procedure                                                    4078442                                                     
225216                                                       Procedure                                                    4078442                                                     
225218                                                       Procedure                                                    4078442                                                     
225221                                                       Procedure                                                    4078442                                                     
225222                                                       Procedure                                                    4305794                                                     
225224                                                       Procedure                                                    4078442                                                     
225226                                                       Procedure                                                    4078442                                                     
225316                                                       Procedure                                                    4305794                                                     
225317                                                       Procedure                                                    4078442                                                     
225318                                                       Procedure                                                    4078442                                                     
225319                                                       Procedure                                                    4141149                                                     
225321                                                       Procedure                                                    4078442                                                     
225322                                                       Procedure                                                    4141149                                                     
225324                                                       Procedure                                                    4078442                                                     
225327                                                       Procedure                                                    4078442                                                     
225328                                                       Procedure                                                    4168999                                                     
225329                                                       Procedure                                                    4078442                                                     
225330                                                       Procedure                                                    4168999                                                     
225332                                                       Procedure                                                    4078442                                                     
225337                                                       Procedure                                                    4078442                                                     
225340                                                       Procedure                                                    4078442                                                     
225343                                                       Procedure                                                    4078442                                                     
225345                                                       Procedure                                                    4078442                                                     
225348                                                       Procedure                                                    4078442                                                     
225351                                                       Procedure                                                    4078442                                                     
225352                                                       Procedure                                                    4305794                                                     
225353                                                       Procedure                                                    4078442                                                     
225354                                                       Procedure                                                    4305794                                                     
225356                                                       Procedure                                                    4078442                                                     
225367                                                       Procedure                                                    4078442                                                     
225368                                                       Procedure                                                    4141149                                                     
225369                                                       Procedure                                                    4078442                                                     
225370                                                       Procedure                                                    4141149                                                     
225372                                                       Procedure                                                    4078442                                                     
225375                                                       Procedure                                                    4078442                                                     
225380                                                       Procedure                                                    4078442                                                     
225383                                                       Procedure                                                    4078442                                                     
225384                                                       Procedure                                                    4141149                                                     
225385                                                       Procedure                                                    4078442                                                     
225386                                                       Procedure                                                    4141149                                                     
225390                                                       Procedure                                                    4078442                                                     
225391                                                       Procedure                                                    4078442                                                     
225392                                                       Procedure                                                    4078442                                                     
225393                                                       Procedure                                                    4078442                                                     
225394                                                       Procedure                                                    4078442                                                     
225396                                                       Procedure                                                    4078442                                                     
225753                                                       Procedure                                                    42536500                                                    
225754                                                       Procedure                                                    42536500                                                    
225755                                                       Procedure                                                    42536500                                                    
225756                                                       Procedure                                                    42536500                                                    
225757                                                       Procedure                                                    42536500                                                    
225758                                                       Procedure                                                    4141149                                                     
225762                                                       Procedure                                                    4078442                                                     
225763                                                       Procedure                                                    4078442                                                     
225765                                                       Procedure                                                    4078442                                                     
225766                                                       Procedure                                                    4078442                                                     
225769                                                       Procedure                                                    4078442                                                     
226126                                                       Procedure                                                    4078442                                                     
226132                                                       Procedure                                                    4078442                                                     
227126                                                       Procedure                                                    4078442                                                     
227197                                                       Procedure                                                    4078442                                                     
227198                                                       Procedure                                                    4078442                                                     
227199                                                       Procedure                                                    4078442                                                     
227361                                                       Procedure                                                    4078442                                                     
227541                                                       Procedure                                                    4078442                                                     
227542                                                       Procedure                                                    4078442                                                     
227584                                                       Procedure                                                    4078442                                                     
227720                                                       Procedure                                                    4078442                                                     
227721                                                       Procedure                                                    4141149                                                     
227722                                                       Procedure                                                    4078442                                                     
227724                                                       Procedure                                                    4141149                                                     
227729                                                       Procedure                                                    4078442                                                     
228160                                                       Procedure                                                    4275142                                                     
228165                                                       Procedure                                                    4078442                                                     
228166                                                       Procedure                                                    4078442                                                     
228168                                                       Procedure                                                    4275142                                                     
228207                                                       Procedure                                                    4078442                                                     
228209                                                       Procedure                                                    4078442                                                     
228215                                                       Procedure                                                    4078442                                                     
228218                                                       Procedure                                                    4078442                                                     
228221                                                       Procedure                                                    4078442                                                     
